"cle_pays";"iso3";"pays";"region";"continent";"sous_region_onu";"pays_source_en"
"76";"PRI";"Porto Rico";"Americas";"Americas";"Caribbean";"Puerto Rico"
"77";"DOM";"République dominicaine";"Americas";"Americas";"Caribbean";"Dominican Republic"
"79";"KNA";"Saint-Christophe-et-Niévès";"Americas";"Americas";"Caribbean";"Saint Kitts and Nevis"
"81";"SXM";"Saint-Martin (partie néerlandaise)";"Americas";"Americas";"Caribbean";"Sint Maarten (Dutch part)"
"82";"VCT";"Saint-Vincent-et-les Grenadines";"Americas";"Americas";"Caribbean";"Saint Vincent and the Grenadines"
"83";"LCA";"Sainte-Lucie";"Americas";"Americas";"Caribbean";"Saint Lucia"
"84";"TTO";"Trinité-et-Tobago";"Americas";"Americas";"Caribbean";"Trinidad and Tobago"
"85";"CYM";"Îles Caïmans";"Americas";"Americas";"Caribbean";"Cayman Islands"
"86";"TCA";"Îles Turques-et-Caïques";"Americas";"Americas";"Caribbean";"Turks and Caicos Islands"
"87";"VGB";"Îles Vierges britanniques";"Americas";"Americas";"Caribbean";"British Virgin Islands"
"88";"VIR";"Îles Vierges des États-Unis";"Americas";"Americas";"Caribbean";"United States Virgin Islands"
"89";"BLZ";"Belize";"Americas";"Americas";"Central America";"Belize"
"90";"CRI";"Costa Rica";"Americas";"Americas";"Central America";"Costa Rica"
"91";"GTM";"Guatemala";"Americas";"Americas";"Central America";"Guatemala"
"92";"HND";"Honduras";"Americas";"Americas";"Central America";"Honduras"
"93";"MEX";"Mexique";"Americas";"Americas";"Central America";"Mexico"
"94";"NIC";"Nicaragua";"Americas";"Americas";"Central America";"Nicaragua"
"95";"PAN";"Panama";"Americas";"Americas";"Central America";"Panama"
"96";"SLV";"Salvador";"Americas";"Americas";"Central America";"El Salvador"
"97";"BMU";"Bermudes";"Americas";"Americas";"Northern America";"Bermuda"
"98";"CAN";"Canada";"Americas";"Americas";"Northern America";"Canada"
"99";"GRL";"Groenland";"Americas";"Americas";"Northern America";"Greenland"
"100";"SPM";"Saint-Pierre-et-Miquelon";"Americas";"Americas";"Northern America";"Saint Pierre and Miquelon"
"101";"USA";"États-Unis";"Americas";"Americas";"Northern America";"United States of America"
"102";"ARG";"Argentine";"Americas";"Americas";"South America";"Argentina"
"103";"BOL";"Bolivie";"Americas";"Americas";"South America";"Bolivia (Plurinational State of)"
"104";"BRA";"Brésil";"Americas";"Americas";"South America";"Brazil"
"105";"CHL";"Chili";"Americas";"Americas";"South America";"Chile"
"106";"COL";"Colombie";"Americas";"Americas";"South America";"Colombia"
"107";"GUY";"Guyana";"Americas";"Americas";"South America";"Guyana"
"108";"GUF";"Guyane française";"Americas";"Americas";"South America";"French Guyana"
"109";"PRY";"Paraguay";"Americas";"Americas";"South America";"Paraguay"
"110";"PER";"Pérou";"Americas";"Americas";"South America";"Peru"
"111";"SUR";"Suriname";"Americas";"Americas";"South America";"Suriname"
"112";"URY";"Uruguay";"Americas";"Americas";"South America";"Uruguay"
"113";"VEN";"Venezuela";"Americas";"Americas";"South America";"Venezuela (Bolivarian Republic of)"
"114";"ECU";"Équateur";"Americas";"Americas";"South America";"Ecuador"
"115";"FLK";"Îles Malouines";"Americas";"Americas";"South America";"Falkland Islands (Malvinas)"
"116";"KAZ";"Kazakhstan";"Europe";"Asia";"Central Asia";"Kazakhstan"
"117";"KGZ";"Kirghizstan";"Europe";"Asia";"Central Asia";"Kyrgyzstan"
"118";"UZB";"Ouzbékistan";"Europe";"Asia";"Central Asia";"Uzbekistan"
"119";"TJK";"Tadjikistan";"Europe";"Asia";"Central Asia";"Tajikistan"
"120";"TKM";"Turkménistan";"Europe";"Asia";"Central Asia";"Turkmenistan"
"121";"CHN";"Chine";"Western Pacific";"Asia";"Eastern Asia";"China, mainland"
"122";"PRK";"Corée du Nord";"South-East Asia";"Asia";"Eastern Asia";"Democratic People's Republic of Korea"
"123";"KOR";"Corée du Sud";"Western Pacific";"Asia";"Eastern Asia";"Republic of Korea"
"125";"JPN";"Japon";"Western Pacific";"Asia";"Eastern Asia";"Japan"
"127";"MNG";"Mongolie";"Western Pacific";"Asia";"Eastern Asia";"Mongolia"
"129";"BRN";"Brunei";"Western Pacific";"Asia";"South-eastern Asia";"Brunei Darussalam"
"130";"KHM";"Cambodge";"Western Pacific";"Asia";"South-eastern Asia";"Cambodia"
"131";"IDN";"Indonésie";"South-East Asia";"Asia";"South-eastern Asia";"Indonesia"
"132";"LAO";"Laos";"Western Pacific";"Asia";"South-eastern Asia";"Lao People's Democratic Republic"
"133";"MYS";"Malaisie";"Western Pacific";"Asia";"South-eastern Asia";"Malaysia"
"134";"MMR";"Myanmar (Birmanie)";"South-East Asia";"Asia";"South-eastern Asia";"Myanmar"
"135";"PHL";"Philippines";"Western Pacific";"Asia";"South-eastern Asia";"Philippines"
"136";"SGP";"Singapour";"Western Pacific";"Asia";"South-eastern Asia";"Singapore"
"137";"THA";"Thaïlande";"South-East Asia";"Asia";"South-eastern Asia";"Thailand"
"138";"TLS";"Timor oriental";"South-East Asia";"Asia";"South-eastern Asia";"Timor-Leste"
"139";"VNM";"Viêt Nam";"Western Pacific";"Asia";"South-eastern Asia";"Viet Nam"
"140";"AFG";"Afghanistan";"Eastern Mediterranean";"Asia";"Southern Asia";"Afghanistan"
"141";"BGD";"Bangladesh";"South-East Asia";"Asia";"Southern Asia";"Bangladesh"
"142";"BTN";"Bhoutan";"South-East Asia";"Asia";"Southern Asia";"Bhutan"
"143";"IND";"Inde";"South-East Asia";"Asia";"Southern Asia";"India"
"144";"IRN";"Iran";"Eastern Mediterranean";"Asia";"Southern Asia";"Iran (Islamic Republic of)"
"145";"MDV";"Maldives";"South-East Asia";"Asia";"Southern Asia";"Maldives"
"146";"NPL";"Népal";"South-East Asia";"Asia";"Southern Asia";"Nepal"
"147";"PAK";"Pakistan";"Eastern Mediterranean";"Asia";"Southern Asia";"Pakistan"
"148";"LKA";"Sri Lanka";"South-East Asia";"Asia";"Southern Asia";"Sri Lanka"
"149";"SAU";"Arabie saoudite";"Eastern Mediterranean";"Asia";"Western Asia";"Saudi Arabia"
"150";"ARM";"Arménie";"Europe";"Asia";"Western Asia";"Armenia"
"151";"AZE";"Azerbaïdjan";"Europe";"Asia";"Western Asia";"Azerbaijan"
"152";"BHR";"Bahreïn";"Eastern Mediterranean";"Asia";"Western Asia";"Bahrain"
"153";"CYP";"Chypre";"Europe";"Asia";"Western Asia";"Cyprus"
"154";"GEO";"Géorgie";"Europe";"Asia";"Western Asia";"Georgia"
"155";"IRQ";"Irak";"Eastern Mediterranean";"Asia";"Western Asia";"Iraq"
"156";"ISR";"Israël";"Europe";"Asia";"Western Asia";"Israel"
"157";"JOR";"Jordanie";"Eastern Mediterranean";"Asia";"Western Asia";"Jordan"
"158";"KWT";"Koweït";"Eastern Mediterranean";"Asia";"Western Asia";"Kuwait"
"159";"LBN";"Liban";"Eastern Mediterranean";"Asia";"Western Asia";"Lebanon"
"160";"OMN";"Oman";"Eastern Mediterranean";"Asia";"Western Asia";"Oman"
"161";"QAT";"Qatar";"Eastern Mediterranean";"Asia";"Western Asia";"Qatar"
"162";"SYR";"Syrie";"Eastern Mediterranean";"Asia";"Western Asia";"Syrian Arab Republic"
"163";"PSE";"Territoires palestiniens";"Eastern Mediterranean";"Asia";"Western Asia";"Palestine"
"164";"TUR";"Turquie";"Europe";"Asia";"Western Asia";"Turkey"
"165";"YEM";"Yémen";"Eastern Mediterranean";"Asia";"Western Asia";"Yemen"
"166";"ARE";"Émirats arabes unis";"Eastern Mediterranean";"Asia";"Western Asia";"United Arab Emirates"
"167";"BLR";"Biélorussie";"Europe";"Europe";"Eastern Europe";"Belarus"
"168";"BGR";"Bulgarie";"Europe";"Europe";"Eastern Europe";"Bulgaria"
"169";"HUN";"Hongrie";"Europe";"Europe";"Eastern Europe";"Hungary"
"170";"MDA";"Moldavie";"Europe";"Europe";"Eastern Europe";"Republic of Moldova"
"171";"POL";"Pologne";"Europe";"Europe";"Eastern Europe";"Poland"
"172";"ROU";"Roumanie";"Europe";"Europe";"Eastern Europe";"Romania"
"173";"RUS";"Russie";"Europe";"Europe";"Eastern Europe";"Russian Federation"
"174";"SVK";"Slovaquie";"Europe";"Europe";"Eastern Europe";"Slovakia"
"175";"CZE";"Tchéquie";"Europe";"Europe";"Eastern Europe";"Czechia"
"176";"UKR";"Ukraine";"Europe";"Europe";"Eastern Europe";"Ukraine"
"177";"DNK";"Danemark";"Europe";"Europe";"Northern Europe";"Denmark"
"178";"EST";"Estonie";"Europe";"Europe";"Northern Europe";"Estonia"
"179";"FIN";"Finlande";"Europe";"Europe";"Northern Europe";"Finland"
"180";"IRL";"Irlande";"Europe";"Europe";"Northern Europe";"Ireland"
"181";"ISL";"Islande";"Europe";"Europe";"Northern Europe";"Iceland"
"182";"LVA";"Lettonie";"Europe";"Europe";"Northern Europe";"Latvia"
"183";"LTU";"Lituanie";"Europe";"Europe";"Northern Europe";"Lithuania"
"184";"NOR";"Norvège";"Europe";"Europe";"Northern Europe";"Norway"
"185";"GBR";"Royaume-Uni";"Europe";"Europe";"Northern Europe";"United Kingdom of Great Britain and Northern Ireland"
"186";"SWE";"Suède";"Europe";"Europe";"Northern Europe";"Sweden"
"187";"IMN";"Île de Man";"Europe";"Europe";"Northern Europe";"Isle of Man"
"188";"FRO";"Îles Féroé";"Europe";"Europe";"Northern Europe";"Faroe Islands"
"189";"HIST_CHI";"Îles anglo-normandes";"Europe";"Europe";"Northern Europe";"Channel Islands"
"190";"ALB";"Albanie";"Europe";"Europe";"Southern Europe";"Albania"
